QID	nDCG@10	MRR	Rel_Found
71309	0.0000	0.0000	
112882	0.0000	0.0000	
319564	0.0000	0.0000	
1090198	0.0000	0.0000	
297504	0.0000	0.0000	
3934	0.0000	0.0000	
104549	0.0000	0.0000	
290788	0.0000	0.0000	
247776	0.0000	0.0000	
1090194	0.0000	0.0000	
300766	0.0000	0.0000	
255614	0.0000	0.0000	
1090193	0.0000	0.0000	
199801	0.0000	0.0000	
155234	0.0000	0.0000	
368043	0.0000	0.0000	
119273	0.0000	0.0000	
1090192	0.2891	0.1000	7073713
236039	0.0000	0.0000	
27803	0.0000	0.0000	
89885	0.0000	0.0000	
14151	0.0000	0.0000	
150095	0.0000	0.0000	
176888	0.0000	0.0000	
283401	0.0000	0.0000	
26509	0.6309	0.5000	7073888
101079	0.0000	0.0000	
1090189	0.0000	0.0000	
46909	0.0000	0.0000	
44460	0.0000	0.0000	
1090188	0.0000	0.0000	
286464	0.0000	0.0000	
67802	0.0000	0.0000	
37456	0.0000	0.0000	
57048	0.0000	0.0000	
115472	0.0000	0.0000	
137450	1.0000	1.0000	7074115
172264	0.0000	0.0000	
1090187	0.0000	0.0000	
181036	0.0000	0.0000	
95872	0.0000	0.0000	
31190	0.0000	0.0000	
3722	0.0000	0.0000	
261941	0.0000	0.0000	
1090184	0.0000	0.0000	
247942	0.0000	0.0000	
323382	0.0000	0.0000	
86155	0.0000	0.0000	
287890	0.0000	0.0000	
49174	0.0000	0.0000	
149257	0.0000	0.0000	
168378	0.0000	0.0000	
1090183	0.0000	0.0000	
77229	0.0000	0.0000	
99724	0.0000	0.0000	
206154	0.0000	0.0000	
323998	0.6309	0.5000	7074377
177192	0.0000	0.0000	
83563	0.0000	0.0000	
1090182	0.0000	0.0000	
137558	0.0000	0.0000	
1090181	0.0000	0.0000	
103383	0.0000	0.0000	
60643	0.0000	0.0000	
16973	0.0000	0.0000	
117952	0.0000	0.0000	
211753	0.0000	0.0000	
63958	0.0000	0.0000	
91711	0.0000	0.0000	
125898	0.0000	0.0000	
1090178	0.0000	0.0000	
224004	0.0000	0.0000	
250887	0.0000	0.0000	
122508	0.0000	0.0000	
324981	0.0000	0.0000	
75776	0.0000	0.0000	
133574	0.0000	0.0000	
289812	0.0000	0.0000	
284645	0.0000	0.0000	
261449	0.0000	0.0000	
1090176	0.0000	0.0000	
273067	0.0000	0.0000	
24232	0.0000	0.0000	
240298	0.0000	0.0000	
1101272	0.0000	0.0000	
1090175	0.0000	0.0000	
243714	0.0000	0.0000	
148186	0.0000	0.0000	
73475	0.0000	0.0000	
278768	0.0000	0.0000	
1090173	0.0000	0.0000	
186149	0.0000	0.0000	
371995	0.0000	0.0000	
93231	0.0000	0.0000	
220115	0.0000	0.0000	
329506	0.0000	0.0000	
333486	0.0000	0.0000	
175437	0.0000	0.0000	
139304	0.0000	0.0000	
237204	0.0000	0.0000	
67329	0.0000	0.0000	
1090171	0.0000	0.0000	
293378	0.0000	0.0000	
228938	0.0000	0.0000	
73257	0.0000	0.0000	
1090170	0.0000	0.0000	
268383	0.0000	0.0000	
291893	0.0000	0.0000	
180630	0.6309	0.5000	7075443
237373	0.3333	0.1429	7075449
24430	0.0000	0.0000	
68536	0.0000	0.0000	
198975	0.0000	0.0000	
1090169	0.0000	0.0000	
70113	0.0000	0.0000	
127876	0.0000	0.0000	
138685	0.0000	0.0000	
1090167	0.0000	0.0000	
77553	0.0000	0.0000	
364154	0.0000	0.0000	
85095	0.0000	0.0000	
1090166	0.0000	0.0000	
246355	0.0000	0.0000	
95844	0.0000	0.0000	
64084	0.0000	0.0000	
198531	0.0000	0.0000	
1090165	0.0000	0.0000	
42200	0.0000	0.0000	
185174	0.0000	0.0000	
149848	0.0000	0.0000	
33312	0.0000	0.0000	
259417	0.0000	0.0000	
1090164	0.0000	0.0000	
322706	0.0000	0.0000	
335545	0.0000	0.0000	
1101271	0.0000	0.0000	
1090163	0.0000	0.0000	
282647	0.0000	0.0000	
119505	0.0000	0.0000	
281930	0.0000	0.0000	
153871	0.0000	0.0000	
305085	0.3333	0.1429	7076075
174518	0.0000	0.0000	
243291	0.0000	0.0000	
201916	0.0000	0.0000	
299669	0.0000	0.0000	
1090161	0.0000	0.0000	
64244	0.0000	0.0000	
336664	0.0000	0.0000	
205107	0.0000	0.0000	
253510	0.0000	0.0000	
70378	0.0000	0.0000	
49275	0.0000	0.0000	
260404	0.0000	0.0000	
17751	0.0000	0.0000	
1090158	0.0000	0.0000	
79408	0.0000	0.0000	
31061	0.0000	0.0000	
211678	0.0000	0.0000	
187603	0.0000	0.0000	
1090157	0.0000	0.0000	
13021	0.0000	0.0000	
230974	0.0000	0.0000	
307118	0.0000	0.0000	
335994	0.3155	0.1250	7076545
371070	0.0000	0.0000	
79835	0.0000	0.0000	
340846	0.0000	0.0000	
1090155	0.0000	0.0000	
279696	0.0000	0.0000	
25035	0.0000	0.0000	
267058	0.0000	0.0000	
16321	0.0000	0.0000	
248686	0.0000	0.0000	
224485	0.0000	0.0000	
87019	0.0000	0.0000	
335710	1.0000	1.0000	7076765
1090154	0.0000	0.0000	
12578	0.0000	0.0000	
98469	0.0000	0.0000	
39912	0.0000	0.0000	
9922	0.0000	0.0000	
309553	0.0000	0.0000	
48474	0.0000	0.0000	
78516	0.0000	0.0000	
143466	0.0000	0.0000	
127984	0.0000	0.0000	
107328	1.0000	1.0000	7076945
1102314	0.0000	0.0000	
1101270	0.0000	0.0000	
133084	0.3869	0.2000	6635922
187852	0.0000	0.0000	
123389	0.3333	0.1429	7077045
26177	0.3155	0.1250	7077056
1090151	0.0000	0.0000	
278229	0.0000	0.0000	
140610	0.5000	0.3333	7077184
234932	0.0000	0.0000	
92487	0.0000	0.0000	
1090150	0.6309	0.5000	7077209
104052	0.0000	0.0000	
278208	0.0000	0.0000	
16922	0.0000	0.0000	
71261	0.0000	0.0000	
196288	0.0000	0.0000	
46711	0.0000	0.0000	
305296	0.0000	0.0000	
117175	0.0000	0.0000	
1090147	0.0000	0.0000	
309014	0.0000	0.0000	
111520	0.0000	0.0000	
134450	0.0000	0.0000	
279535	0.0000	0.0000	
48439	0.0000	0.0000	
278920	0.0000	0.0000	
252191	0.0000	0.0000	
1090146	0.0000	0.0000	
251775	0.0000	0.0000	
116984	0.0000	0.0000	
1090144	0.0000	0.0000	
244678	0.0000	0.0000	
148372	0.0000	0.0000	
324923	0.0000	0.0000	
44446	0.0000	0.0000	
82612	0.0000	0.0000	
149626	0.0000	0.0000	
1090143	0.0000	0.0000	
205315	0.0000	0.0000	
48724	0.0000	0.0000	
234707	0.0000	0.0000	
345376	0.0000	0.0000	
287336	0.0000	0.0000	
46574	0.0000	0.0000	
355059	0.0000	0.0000	
1101269	0.0000	0.0000	
1090141	0.0000	0.0000	
1090139	0.5000	0.3333	7077987
1090137	0.0000	0.0000	
1090136	0.0000	0.0000	
1090133	0.0000	0.0000	
1090132	0.0000	0.0000	
1101268	0.0000	0.0000	
1090130	0.0000	0.0000	
1090129	0.0000	0.0000	
1090128	0.0000	0.0000	
1090127	0.0000	0.0000	
1090125	0.0000	0.0000	
1090121	0.3155	0.1250	7078136
1090120	0.0000	0.0000	
1090118	0.5000	0.3333	7078176
1090117	0.0000	0.0000	
1090115	0.0000	0.0000	
1090114	0.0000	0.0000	
1090113	0.0000	0.0000	
1090112	0.0000	0.0000	
1090110	0.0000	0.0000	
1090108	0.0000	0.0000	
1090107	0.0000	0.0000	
1090103	0.0000	0.0000	
1090102	0.0000	0.0000	
1090100	0.0000	0.0000	
1090098	0.0000	0.0000	
1090097	0.0000	0.0000	
1090096	0.0000	0.0000	
1090094	0.0000	0.0000	
1101264	0.0000	0.0000	
1090093	0.0000	0.0000	
1090091	0.0000	0.0000	
1090089	0.0000	0.0000	
1090088	0.0000	0.0000	
1090086	0.0000	0.0000	
1090085	0.0000	0.0000	
1090084	0.0000	0.0000	
1101263	0.0000	0.0000	
1090081	0.0000	0.0000	
1090080	0.0000	0.0000	
1090079	0.0000	0.0000	
1090078	0.0000	0.0000	
1090077	0.0000	0.0000	
1090076	0.0000	0.0000	
1090075	0.0000	0.0000	
1090074	0.0000	0.0000	
1090073	0.0000	0.0000	
1090072	0.0000	0.0000	
1090071	0.0000	0.0000	
1090070	0.0000	0.0000	
1090069	0.0000	0.0000	
1090068	0.0000	0.0000	
1090065	0.0000	0.0000	
1090063	0.0000	0.0000	
1090062	0.0000	0.0000	
1090061	0.0000	0.0000	
1090060	0.0000	0.0000	
1090057	0.0000	0.0000	
1090056	0.0000	0.0000	
1090054	0.0000	0.0000	
1090053	0.0000	0.0000	
1090051	0.0000	0.0000	
1090050	0.0000	0.0000	
1090044	0.0000	0.0000	
1090043	0.0000	0.0000	
1090041	0.0000	0.0000	
1101259	0.5000	0.3333	7078991
1090039	0.0000	0.0000	
1090038	0.0000	0.0000	
1090037	0.0000	0.0000	
1090035	0.0000	0.0000	
1090034	0.0000	0.0000	
1090031	0.0000	0.0000	
1090030	0.0000	0.0000	
1090029	0.0000	0.0000	
1101258	0.0000	0.0000	
1090028	0.0000	0.0000	
1090027	0.0000	0.0000	
1090025	0.0000	0.0000	
1090024	0.0000	0.0000	
1090023	0.0000	0.0000	
1090022	0.0000	0.0000	
1090021	0.0000	0.0000	
1090020	0.0000	0.0000	
